,client,FL,Standalone,random_seed,Centralized,FL_eo,Standalone_eo,Centralized_eo,FL_dp,Standalone_dp,Centralized_dp,FL_eopp,Standalone_eopp,Centralized_eopp,attr
335,14,0.7775,0.734,3,0.776,0.16501110202173663,0.25260670276446834,0.3347227091530001,0.22672137283231178,0.26735056081198005,0.2788525388463411,0.16177768703724826,0.21442654320616983,0.18407383610258754,1
336,15,0.791,0.748,3,0.803,0.5086580086580087,0.39583333333333337,0.6679035250463822,0.32503556187766713,0.29943100995732574,0.3048642533936652,0.17087062652563056,0.18253968253968256,0.14564686737184707,0
337,15,0.791,0.748,3,0.803,0.10800944224857267,0.16891743522178299,0.12107487922705318,0.1755498539639509,0.16479482338513174,0.19943199238353423,0.0772039266889114,0.07512452246240142,0.10387349484984765,1
338,16,0.812,0.7355,3,0.7955,0.25,0.5580589254766031,0.13866231647634586,0.19967992277501873,0.310038824181919,0.21394897393233503,0.11198632797327746,0.19331158238172919,0.13866231647634586,0
339,16,0.812,0.7355,3,0.7955,0.12607879924953092,0.2300891181988743,0.11739332418223436,0.1859492894766683,0.1974081778671556,0.19233451645176863,0.08359171524246556,0.10596636235408863,0.11739332418223436,1
340,17,0.803,0.7605,3,0.797,0.7011070110701108,0.6162361623616236,0.5996309963099631,0.366364270760642,0.24330061391185123,0.3007676203768318,0.27586206896551724,0.16375892149088023,0.13793103448275867,0
341,17,0.803,0.7605,3,0.797,0.22235294117647064,0.2872829131652661,0.2328851540616247,0.24944318262509765,0.25432277305553974,0.23034087124542071,0.10679469811671582,0.12103222036284433,0.09223178473716365,1
342,18,0.789,0.736,3,0.782,0.15617892342683848,0.37312925170068034,0.2666666666666666,0.1724984506840826,0.187012987012987,0.1817705105591839,0.15617892342683848,0.134950720242608,0.1357088703563305,0
343,18,0.789,0.736,3,0.782,0.12026043661432406,0.13790141940275985,0.20393904576210203,0.16901422535563387,0.14980374509362737,0.21736543413585338,0.09492842468023055,0.10004804824706737,0.14025117635363504,1
344,19,0.7645,0.766,3,0.7945,0.6666666666666666,0.88,0.8020833333333334,0.3875032224800206,0.5178571428571429,0.4811484918793503,0.10584757372557496,0.22580645161290325,0.18835385174796115,0
345,19,0.7645,0.766,3,0.7945,0.23342839858266362,0.1278195488721805,0.16368507475585514,0.22477882834038226,0.15356175400829875,0.22507092297904518,0.0911478324108117,0.044299403880834864,0.13562353770830204,1
